t,ytd_old,ytd_new,basis,p_old,p_new,s1g,s2g,s1u,s2u,ytd_uni_old
HIG,3.73,4.92,prior_year_close,2,2,56,56,60,56,5.44
HII,-19.45,-3.87,prior_year_close,-10,-4,59,65,65,65,-6.53
HLT,1.23,10.67,prior_year_close,2,6,28,32,32,32,8.5
HON,-1.09,21.6,prior_year_close,-4,12,71,87,87,87,21.11
HONA,-15.75,-15.75,first_close_of_year,-10,-10,32,32,32,32,-15.75
HOOD,7.77,-17.52,prior_year_close,6,-10,37,21,21,21,-19.03
HPE,124.68,123.65,prior_year_close,-2,12,72,86,72,86,122.26
HPQ,59.08,38.73,prior_year_close,8,12,77,81,81,81,39.73
HQ,43.45,43.45,first_close_of_year,12,12,61,61,61,61,43.45
HRL,5.2,9.74,prior_year_close,6,6,52,52,52,52,11.2
HSIC,10.02,16.6,prior_year_close,6,6,75,75,75,75,14.72
HST,25.08,37.85,prior_year_close,12,12,51,51,51,51,34.58
HSY,-19.77,1.64,prior_year_close,-10,2,62,74,74,74,1.4
